Participant,Country,Result,Notes,Location,Event_Year
Bevil Rudd,RSA,0:49.6,,Antwerp,1920
Guy Butler,GBR,0:49.9,,Antwerp,1920
Nils Engdahl,SWE,0:50.0,,Antwerp,1920
Frank Shea,USA,,,Antwerp,1920
John Ainsworth-Davis,GBR,,,Antwerp,1920
Harry Davel,RSA,,,Antwerp,1920
Achmed Abbas Sabri,EGY,,Qualified,Antwerp,1920
Anatole Bolin,SWE,,Qualified,Antwerp,1920
Clarence Oldfield,RSA,,Qualified,Antwerp,1920
Egide Simonazzi,ITA,,Qualified,Antwerp,1920
Einar Mangset,NOR,,Qualified,Antwerp,1920
Erik Sundblad,SWE,,Qualified,Antwerp,1920
Erkka Wilen,FIN,,Qualified,Antwerp,1920
Eugène Bayon,FRA,,Qualified,Antwerp,1920
Francis Irvine,RSA,,Qualified,Antwerp,1920
François Morren,BEL,,Qualified,Antwerp,1920
Gaston Féry,FRA,,Qualified,Antwerp,1920
George Schiller,USA,,Qualified,Antwerp,1920
Georges Andre,FRA,,Qualified,Antwerp,1920
Giovanni Tosi,ITA,,Qualified,Antwerp,1920
Giuseppe Bernardoni,ITA,,Qualified,Antwerp,1920
Hector Phillips,CAN,,Qualified,Antwerp,1920
Hedges Worthington-Eyre,GBR,,Qualified,Antwerp,1920
James Edwin Meredith,USA,,Qualified,Antwerp,1920
Jean Proess,LUX,,Qualified,Antwerp,1920
José García,ESP,,Qualified,Antwerp,1920
Jules F. Migeot,BEL,,Qualified,Antwerp,1920
Karel Frankenstein,TCH,,Qualified,Antwerp,1920
Karel Pribyl,TCH,,Qualified,Antwerp,1920
Maurice Delvart,FRA,,Qualified,Antwerp,1920
Miguel Garcia-Onsalo,ESP,,Qualified,Antwerp,1920
Omer Gustave Corteyn,BEL,,Qualified,Antwerp,1920
Reinhold Saulmann,EST,,Qualified,Antwerp,1920
Robert Lindsay,GBR,,Qualified,Antwerp,1920
Robert Simpson Emery,USA,,Qualified,Antwerp,1920
Sven Krokström,SWE,,Qualified,Antwerp,1920
