Martin FOURCADE,FRA,32:51.7
Sebastian SAMUELSSON,SWE,33:03.7
Benedikt DOLL,GER,33:06.8
Tarjei BOE,NOR,33:54.3
Simon SCHEMPP,GER,33:54.4
Benjamin WEGER,SUI,33:54.8
Simon DESTHIEUX,FRA,33:55.4
Arnd PEIFFER,GER,34:05.8
Erlend BJOENTEGAARD,NOR,34:18.0
Lukas HOFER,ITA,34:24.4
Erik LESSER,GER,34:27.6
Andrejs RASTORGUJEVS,LAT,34:29.3
Tomas KAUKENAS,LTU,34:31.8
Simon EDER,AUT,34:33.1
Julian EBERHARD,AUT,34:36.9
Dominik WINDISCH,ITA,34:57.9
Tim BURKE,USA,35:11.3
Jesper NELIN,SWE,35:15.5
Antonin GUIGONNAT,FRA,35:27.9
Emil Hegle SVENDSEN,NOR,35:33.2
Johannes Thingnes BOE,NOR,35:42.7
Timofei LAPSHIN,KOR,35:50.7
Michael ROESCH,BEL,35:55.1
Klemen BAUER,SLO,35:55.9
Tero SEPPAELAE,FIN,36:09.9
Dominik LANDERTINGER,AUT,36:22.2
Martin OTCENAS,SVK,36:22.5
Serafin WIESTNER,SUI,36:37.0
Fredrik LINDSTROEM,SWE,36:41.5
Michal KRCMAR,CZE,36:41.6
Matej KAZAR,SVK,36:42.4
Lowell BAILEY,USA,36:43.3
Anton SMOLSKI,BLR,36:44.1
Dmytro PIDRUCHNYI,UKR,36:53.2
Olli HIIDENSALO,FIN,37:03.9
Vladimir CHEPELIN,BLR,37:04.6
Sergey BOCHARNIKOV,BLR,37:15.6
Artem PRYMA,UKR,37:16.3
Giuseppe MONTELLO,ITA,37:21.7
Anton BABIKOV,OAR,37:21.8
Kalev ERMITS,EST,37:43.0
Peppe FEMLING,SWE,37:45.8
Vytautas STROLIA,LTU,37:47.3
Quentin FILLON MAILLET,FRA,37:57.2
Krasimir ANEV,BUL,37:57.9
Vladimir ILIEV,BUL,38:08.7
Jakov FAK,SLO,38:10.4
Thomas BORMOLINI,ITA,38:10.7
Sergii SEMENOV,UKR,38:23.7
Leif NORDGREN,USA,38:40.4
Ondrej MORAVEC,CZE,38:45.9
Roman YEREMIN,KAZ,38:51.1
Roland LESSING,EST,38:54.4
Nathan SMITH,CAN,38:58.2
Tuomas GRONMAN,FIN,38:58.9
Grzegorz GUZIK,POL,39:07.3
Florent CLAUDE,BEL,39:22.7
Cornel PUCHIANU,ROU,39:37.6
Miha DOVZAN,SLO,40:13.2
Anton SINAPOV,BUL,40:49.1
