Participant,Country,Result,Notes
Anna Gasser,AUT,,
Jamie Anderson,USA,,
Zoi Sadowski Synnott,NZL,,
Reira Iwabuchi,JPN,,
Sina Candrian,SUI,,
Silje Norendal,NOR,,
Yuka Fujimori,JPN,,
Miyabi Onitsuka,JPN,,
Spencer O Brien,CAN,,
Julia Marino,USA,,
Jessika Jenson,USA,,
Laurie Blouin,CAN,,
Jessica Rich,AUS,,
Hailey Langland,USA,,
Carla Somaini,SUI,,
Enni Rukajarvi,FIN,,
Brooke Voigt,CAN,,
Elena Koenz,SUI,,
Sarka Pancochova,CZE,,
Cheryl Maas,NED,,
Sofya Fedorova,OAR,,
Isabel Derungs,SUI,,
Klaudia Medlova,SVK,,
Asami Hirono,JPN,,
Aimee Fuller,GBR,,
Katerina Vojackova,CZE,,
