Participant,Country,Result,Notes
Chloe Kim,USA,,
Jiayu Liu,CHN,,
Arielle Gold,USA,,
Kelly Clark,USA,,
Xuetong Cai,CHN,,
Haruna Matsumoto,JPN,,
Queralt Castellet,ESP,,
Sena Tomita,JPN,,
Mirabelle Thovex,FRA,,
Sophie Rodriguez,FRA,,
Emily Arthur,AUS,,
Maddie Mastro,USA,,
Holly Crawford,AUS,,
Verena Rohrer,SUI,,
Kurumi Imai,JPN,,
Leng Qiu,CHN,,
Hikaru Oe,JPN,,
Mercedes Nicoll,CAN,,
Elizabeth Hosking,CAN,,
Sunoo Kwon,KOR,,
Kaja Verdnik,SLO,,
Shuang Li,CHN,,
Calynn Irwin,CAN,,
Clemence Grimal,FRA,,
